Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71992936,2,"Friday, May 17, 2013 10:10:06 UTC",40.2865,-124.3437,1.7,18.60,20,"Northern California"
nc,71992926,2,"Friday, May 17, 2013 10:03:51 UTC",37.5517,-119.0032,1.1,4.40,23,"Central California"
ci,15344777,2,"Friday, May 17, 2013 09:55:35 UTC",34.0132,-116.8493,1.8,19.40,70,"Southern California"
pr,13137002,0,"Friday, May 17, 2013 09:25:38 UTC",17.6504,-66.2710,3.1,32.00,22,"Puerto Rico region"
nc,71992891,2,"Friday, May 17, 2013 09:14:57 UTC",37.6242,-119.0485,2.0,4.50,40,"Central California"
ak,10718879,1,"Friday, May 17, 2013 08:36:53 UTC",63.6031,-147.3178,1.2,4.50, 6,"Central Alaska"
nc,71992876,1,"Friday, May 17, 2013 08:33:20 UTC",38.8172,-122.8058,2.0,3.50,33,"Northern California"
us,b000gxjn,8,"Friday, May 17, 2013 08:32:39 UTC",-6.2454,154.4122,5.4,69.30,83,"Bougainville region, Papua New Guinea"
ci,15344729,4,"Friday, May 17, 2013 07:56:06 UTC",33.2037,-115.5472,1.0,2.20,12,"Southern California"
ak,10718870,1,"Friday, May 17, 2013 07:34:39 UTC",67.2953,-150.1075,2.1,1.10,10,"northern Alaska"
ci,15344713,4,"Friday, May 17, 2013 07:28:17 UTC",35.3160,-118.5362,1.3,4.70,14,"Central California"
nc,71992861,3,"Friday, May 17, 2013 07:25:48 UTC",38.7573,-122.7227,2.0,2.10,73,"Northern California"
ci,15344705,5,"Friday, May 17, 2013 07:03:22 UTC",34.0483,-117.1677,1.5,7.10,55,"Greater Los Angeles area, California"
us,b000gxjr,4,"Friday, May 17, 2013 06:56:57 UTC",-19.1920,-69.2010,4.4,120.10, 0,"Tarapaca, Chile"
us,b000gxic,8,"Friday, May 17, 2013 06:43:16 UTC",-11.0851,165.0815,5.7,10.30,106,"Santa Cruz Islands"
nc,71992846,0,"Friday, May 17, 2013 06:41:45 UTC",38.7980,-122.7370,1.2,1.30,16,"Northern California"
ci,15344681,6,"Friday, May 17, 2013 06:33:56 UTC",33.2140,-115.5570,1.1,2.60,16,"Southern California"
ci,15344673,2,"Friday, May 17, 2013 06:32:35 UTC",33.7573,-116.9273,1.1,16.30,37,"Southern California"
ci,15344665,4,"Friday, May 17, 2013 06:31:45 UTC",33.2132,-115.5502,1.3,2.30,15,"Southern California"
us,b000gxhx,5,"Friday, May 17, 2013 06:01:58 UTC",31.5593,86.4668,4.4,27.60,36,"western Xizang"
nc,71992826,1,"Friday, May 17, 2013 05:54:25 UTC",38.8168,-122.8255,1.8,2.70,34,"Northern California"
ci,15344649,2,"Friday, May 17, 2013 05:41:15 UTC",34.0002,-117.1862,1.2,16.10,28,"Greater Los Angeles area, California"
ci,15344641,4,"Friday, May 17, 2013 05:39:02 UTC",33.2033,-115.5490,1.2,2.10,12,"Southern California"
us,b000gxhn,7,"Friday, May 17, 2013 05:37:49 UTC",-6.6940,129.8291,4.6,157.80,54,"Banda Sea"
ak,10718820,2,"Friday, May 17, 2013 05:24:55 UTC",59.3094,-151.9934,4.3,54.40,46,"Kenai Peninsula, Alaska"
ci,15344633,4,"Friday, May 17, 2013 05:18:29 UTC",33.2083,-115.5458,2.7,0.00,31,"Southern California"
ci,15344617,5,"Friday, May 17, 2013 05:00:08 UTC",34.0795,-117.2918,2.3,16.60,93,"Greater Los Angeles area, California"
ci,15344601,4,"Friday, May 17, 2013 04:51:26 UTC",33.2053,-115.5487,1.1,2.20,12,"Southern California"
ci,15344593,4,"Friday, May 17, 2013 04:50:10 UTC",33.2062,-115.5508,2.0,2.50,33,"Southern California"
pr,13137000,0,"Friday, May 17, 2013 04:41:51 UTC",18.1336,-67.6911,2.9,10.00, 8,"Mona Passage, Puerto Rico"
pr,13137001,0,"Friday, May 17, 2013 04:41:05 UTC",17.8868,-66.1019,2.2,14.00,17,"Puerto Rico region"
ci,15344585,5,"Friday, May 17, 2013 04:38:13 UTC",33.2125,-115.5525,3.1,1.80,26,"Southern California"
nc,71992776,1,"Friday, May 17, 2013 04:36:56 UTC",35.7203,-121.1052,1.8,7.30,24,"Central California"
ci,15344569,5,"Friday, May 17, 2013 04:30:56 UTC",36.2155,-117.9095,1.8,1.40,26,"Central California"
ci,15344577,2,"Friday, May 17, 2013 04:29:04 UTC",33.2795,-115.4998,1.0,3.20,11,"Southern California"
nc,71992766,0,"Friday, May 17, 2013 04:20:59 UTC",36.8382,-121.4143,1.2,8.10,12,"Central California"
ci,15344553,4,"Friday, May 17, 2013 04:18:49 UTC",33.2047,-115.5508,2.0,3.10,20,"Southern California"
ci,15344537,4,"Friday, May 17, 2013 04:04:34 UTC",33.2047,-115.5480,1.1,2.60,13,"Southern California"
us,b000gxg7,5,"Friday, May 17, 2013 03:59:08 UTC",-43.6247,172.4262,4.2,14.60,16,"South Island of New Zealand"
ci,15344521,4,"Friday, May 17, 2013 03:50:51 UTC",33.6395,-116.7553,1.3,13.50,43,"Southern California"
ci,15344513,7,"Friday, May 17, 2013 03:44:17 UTC",33.2133,-115.5475,2.3,1.10,41,"Southern California"
ak,10718411,2,"Friday, May 17, 2013 03:43:05 UTC",51.9468,-173.7423,2.2,6.50, 7,"Andreanof Islands, Aleutian Islands, Alaska"
